Framework,Method,Run,Epoch,Accuracy
scSMD,SmallBatch,fine_tune,3,0.9
scSMD,SmallBatch,fine_tune,4,0.9235294117647059
scSMD,SmallBatch,fine_tune,5,0.9705882352941176
scSMD,SmallBatch,fine_tune,6,0.9588235294117647
scSMD,SmallBatch,fine_tune,7,0.9705882352941176
scSMD,SmallBatch,fine_tune,8,0.9470588235294117
scSMD,SmallBatch,fine_tune,9,0.888235294117647
scSMD,SmallBatch,fine_tune,10,0.888235294117647
scSMD,MixedPrecision,scratch,1,0.3411764705882353
scSMD,MixedPrecision,scratch,2,0.5882352941176471
scSMD,MixedPrecision,scratch,3,0.5882352941176471
scSMD,MixedPrecision,scratch,4,0.8
scSMD,MixedPrecision,scratch,5,0.9117647058823529
scSMD,MixedPrecision,scratch,6,0.9235294117647059
scSMD,MixedPrecision,scratch,7,0.9470588235294117
scSMD,MixedPrecision,scratch,8,0.9823529411764705
scSMD,MixedPrecision,scratch,9,0.9705882352941176
scSMD,MixedPrecision,scratch,10,0.9352941176470588
scSMD,MixedPrecision,fine_tune,1,0.788235294117647
scSMD,MixedPrecision,fine_tune,2,0.8235294117647058
scSMD,MixedPrecision,fine_tune,3,0.8941176470588236
scSMD,MixedPrecision,fine_tune,4,0.8941176470588236
scSMD,MixedPrecision,fine_tune,5,0.9470588235294117
scSMD,MixedPrecision,fine_tune,6,0.8941176470588236
scSMD,MixedPrecision,fine_tune,7,0.9764705882352941
scSMD,MixedPrecision,fine_tune,8,0.9470588235294117
scSMD,MixedPrecision,fine_tune,9,0.9764705882352941
scSMD,MixedPrecision,fine_tune,10,0.9470588235294117
scSMD,ReduceComplexity,scratch,1,0.3235294117647059
scSMD,ReduceComplexity,scratch,2,0.5235294117647059
scSMD,ReduceComplexity,scratch,3,0.5941176470588235
scSMD,ReduceComplexity,scratch,4,0.7
scSMD,ReduceComplexity,scratch,5,0.7764705882352941
scSMD,ReduceComplexity,scratch,6,0.8235294117647058
scSMD,ReduceComplexity,scratch,7,0.8941176470588236
scSMD,ReduceComplexity,scratch,8,0.8941176470588236
scSMD,ReduceComplexity,scratch,9,0.9529411764705882
scSMD,ReduceComplexity,scratch,10,0.9470588235294117
scSMD,ReduceComplexity,fine_tune,1,0.8647058823529412
scSMD,ReduceComplexity,fine_tune,2,0.8823529411764706
scSMD,ReduceComplexity,fine_tune,3,0.9411764705882353
scSMD,ReduceComplexity,fine_tune,4,0.888235294117647
scSMD,ReduceComplexity,fine_tune,5,0.9
scSMD,ReduceComplexity,fine_tune,6,0.9764705882352941
